p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.0    0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.78          -2.463        0.006         0.882         -1.203        0.005         0.883         -1.26         0.005         34129.0       0.0           
0.01   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.78          -2.463        0.006         0.882         -1.203        0.005         0.883         -1.26         0.005         34129.0       0.0           
0.02   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.836         -1.49         0.004         0.912         -0.729        0.004         0.913         -0.761        0.004         34129.0       0.0           
0.03   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.882         -0.691        0.002         0.939         -0.333        0.002         0.939         -0.357        0.002         34246.0       0.0           
0.04   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.923         -0.251        0.001         0.956         -0.106        0.001         0.964         -0.146        0.001         35924.0       0.0           
0.05   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.927         -0.155        0.001         0.957         -0.057        0.001         0.968         -0.099        0.001         38980.0       0.0           
0.06   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.92          -0.014        0.0           0.949         0.038         0.0           0.968         -0.052        0.0           38983.0       0.0           
0.07   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.899         0.157         0.0           0.932         0.161         0.001         0.965         -0.004        0.0           39005.0       0.0           
0.08   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.883         0.309         0.001         0.917         0.28          0.001         0.962         0.029         0.0           39128.0       0.0           
0.09   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.863         0.495         0.001         0.899         0.44          0.001         0.96          0.055         0.0           39445.0       0.0           
0.1    0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.827         0.725         0.001         0.874         0.595         0.001         0.946         0.129         0.001         40267.0       0.0           
-1     0.014  SCOPA         -1.0          1.0           0.0           0.924         0.038         0.002         0.958         0.108         0.004         0.965         -0.07         0.0           45732.0       0.0           
0.0    0.014  BASICTOOL     -1.0          1.0           -1.0          0.765         -2.725        0.006         0.873         -1.344        0.005         0.874         -1.381        0.006         33843.0       0.0           
0.01   0.014  BASICTOOL     -1.0          1.0           -1.0          0.765         -2.725        0.006         0.873         -1.344        0.005         0.874         -1.381        0.006         33843.0       0.0           
0.02   0.014  BASICTOOL     -1.0          1.0           -1.0          0.823         -1.676        0.005         0.904         -0.823        0.004         0.906         -0.853        0.004         33843.0       0.0           
